0.74119,2.1043
0.5453,0.36336
0.78395,2.5777
0.64337,1.18
0.56178,0.49675
0.72035,1.8924
0.75714,2.2741
0.81256,2.9335
0.18266,-2.9969
0.74957,2.1926
0.58363,0.6754
0.81303,2.9397
0.52075,0.16608
0.48465,-0.12286
0.71178,1.8081
0.30651,-1.6329
0.49857,-0.011434
0.76898,2.4051
0.55576,0.44797
0.73799,2.0711
0.67171,1.4318
0.56414,0.51592
0.31869,-1.5196
0.62228,0.9985
0.22278,-2.4991
0.59336,0.75576
0.61842,0.96567
0.6658,1.3785
0.76355,2.3445
0.80952,2.8938
0.69149,1.6142
0.56078,0.48868
0.78329,2.5699
0.55978,0.48054
0.19015,-2.8981
0.24279,-2.2748
0.74803,2.1763
0.48822,-0.094221
0.7378,2.0691
0.29488,-1.7436
0.53914,0.31375
0.5962,0.7793
0.19718,-2.8081
0.5852,0.68828
0.39825,-0.82553
0.20564,-2.7028
0.49218,-0.06258
0.28446,-1.8449
0.24402,-2.2615
0.29245,-1.767
0.25722,-2.1209
0.28236,-1.8656
0.20229,-2.7441
0.60003,0.81119
0.342,-1.3088
0.52892,0.23158
0.64233,1.171
0.49934,-0.0053039
0.52683,0.21481
0.45898,-0.3289
0.24449,-2.2564
0.49277,-0.057856
0.7425,2.118
0.75432,2.2436
0.33423,-1.3782
0.29429,-1.7492
0.54858,0.38988
0.60371,0.84187
0.43809,-0.49783
0.29275,-1.7641
0.79311,2.6876
0.22205,-2.5076
0.23454,-2.3657
0.25467,-2.1478
0.26882,-2.0012
0.58974,0.72575
0.55506,0.44226
0.20689,-2.6875
0.78476,2.5872
0.66507,1.372
0.67118,1.427
0.21252,-2.6196
0.74674,2.1626
0.78638,2.6064
0.81049,2.9064
0.74589,2.1536
0.70197,1.7134
0.51003,0.080265
0.27544,-1.9344
0.42452,-0.60846
0.25008,-2.1964
0.19666,-2.8147
0.78875,2.6349
0.35524,-1.1922
0.35128,-1.2268
0.37726,-1.0024
0.47532,-0.19759
0.60935,0.88919
0.19399,-2.8486
0.73626,2.0532
